chinese,56
old,46
western,42
recent,42
different,41
asian,40
contemporary,39
traditional,39
green,39
natural,37
outdoor,36
central,36
fresh,36
modern,36
historic,34
local,33
cultural,33
tiny,33
unique,33
british,33
colourful,32
european,32
commercial,32
friendly,31
international,31
historical,30
original,29
chic,29
private,29
exclusive,29
cheap,29
busy,28
eastern,28
global,28
colonial,28
urban,28
dramatic,27
italian,27
australian,27
cantonese,26
american,26
young,26
panoramic,26
clean,26
light,26
nearby,26
sweet,26
corporate,25
antique,25
cosy,25
national,25
sleek,25
cheaper,24
expensive,24
spacious,24
sunny,24
vietnamese,23
scenic,23
electronic,23
therapeutic,23
trendy,23
turkish,23
peaceful,23
futuristic,23
familyfriendly,22
innovative,22
executive,22
exotic,22
seasonal,22
ancient,22
childfriendly,21
minimalist,21
spanish,21
stylish,21
belgian,21
legislative,21
authentic,21
mysterious,21
southeast,20
herbal,20
vibrant,20
classic,19
lively,19
elegant,19
uphill,19
sophisticated,18
residential,18
royal,17
inexpensive,17
iconic,17
efficient,17
conventional,17
laidback,17
delicious,17
financial,16
african,16
technical,16
organic,16
entertaining,16
funny,16
homemade,16
cheapest,16
bustling,16
leisurely,15
healthy,15
luxurious,15
artistic,15
creative,15
romantic,14
electric,14
unusual,14
responsible,14
highend,14
lush,14
passionate,14
verdant,14
familyrun,14
affordable,14
history,14
tropical,14
tailormade,13
lavish,13
funky,13
centuriesold,13
souvenir,13
360degree,13
brazilian,12
oldstyle,12
bizarre,12
korean,12
sustainable,12
athletic,12
foreign,12
hilly,12
classy,11
vegetarian,11
fashionable,11
authenticated,11
chaotic,11
downtown,10
relaxing,10
fastslimming,10
realistic,9
culinary,9
styleconscious,9
romanian,9
busiest,9
islamic,9
lofty,9
civilized,9
rural,9
cosmopolitan,9
musical,9
boutiquestyle,9
indian,8
lowprice,8
lavender,8
medieval,8
idyllic,7
americanstyle,7
architectural,7
timeless,7
future,7
savvy,7
tranquil,7
adventurous,6
ecofriendly,6
mountainous,5
luxury,5
diving,5
islands,5
brazil,5
culture,5
waterfront,4
handmade,4
handpicked,4
scary,4
